CBSA,ZIP,num_listings
CBSA,ZIP,num_listings
"Baltimore-Columbia-Towson, MD",21030,17
"Baltimore-Columbia-Towson, MD",21128,6
"Baltimore-Columbia-Towson, MD",21052,0
"Baltimore-Columbia-Towson, MD",21087,1
"Baltimore-Columbia-Towson, MD",20794,10
"Baltimore-Columbia-Towson, MD",21082,1
"Baltimore-Columbia-Towson, MD",21108,10
"Baltimore-Columbia-Towson, MD",20755,2
"Baltimore-Columbia-Towson, MD",21045,47
"Baltimore-Columbia-Towson, MD",21047,5
"Baltimore-Columbia-Towson, MD",21044,74
"Baltimore-Columbia-Towson, MD",20701,1
"Baltimore-Columbia-Towson, MD",20724,22
"Baltimore-Columbia-Towson, MD",21046,28
"Baltimore-Columbia-Towson, MD",21031,0
"Baltimore-Columbia-Towson, MD",21136,46
"Baltimore-Columbia-Towson, MD",21113,51
"Baltimore-Columbia-Towson, MD",20763,2
"Baltimore-Columbia-Towson, MD",21146,18
"Baltimore-Columbia-Towson, MD",21054,10
"Baltimore-Columbia-Towson, MD",21104,2
"Baltimore-Columbia-Towson, MD",21032,8
"Baltimore-Columbia-Towson, MD",21156,0
"Baltimore-Columbia-Towson, MD",21013,0
"Baltimore-Columbia-Towson, MD",21048,2
"Baltimore-Columbia-Towson, MD",21784,18
"Baltimore-Columbia-Towson, MD",21085,20
"Baltimore-Columbia-Towson, MD",21012,24
"Baltimore-Columbia-Towson, MD",21794,0
"Baltimore-Columbia-Towson, MD",21152,7
"Baltimore-Columbia-Towson, MD",21409,32
"Baltimore-Columbia-Towson, MD",21056,1
"Baltimore-Columbia-Towson, MD",21051,0
"Baltimore-Columbia-Towson, MD",20723,31
"Baltimore-Columbia-Towson, MD",21111,3
"Baltimore-Columbia-Towson, MD",20720,26
"Baltimore-Columbia-Towson, MD",20708,21
"Baltimore-Columbia-Towson, MD",20715,14
"Baltimore-Columbia-Towson, MD",21155,0
"Baltimore-Columbia-Towson, MD",21071,1
"Baltimore-Columbia-Towson, MD",21029,7
"Baltimore-Columbia-Towson, MD",21040,60
"Baltimore-Columbia-Towson, MD",21405,0
"Baltimore-Columbia-Towson, MD",21401,110
"Baltimore-Columbia-Towson, MD",20707,57
"Baltimore-Columbia-Towson, MD",21036,1
"Baltimore-Columbia-Towson, MD",20759,5
"Baltimore-Columbia-Towson, MD",21035,3
"Baltimore-Columbia-Towson, MD",21010,0
"Baltimore-Columbia-Towson, MD",21114,25
"Baltimore-Columbia-Towson, MD",21723,0
"Baltimore-Columbia-Towson, MD",21737,1
"Baltimore-Columbia-Towson, MD",21084,1
"Baltimore-Columbia-Towson, MD",20777,1
"Baltimore-Columbia-Towson, MD",20866,19
"Baltimore-Columbia-Towson, MD",21009,35
"Baltimore-Columbia-Towson, MD",21015,19
"Baltimore-Columbia-Towson, MD",21120,1
"Baltimore-Columbia-Towson, MD",21014,29
"Baltimore-Columbia-Towson, MD",21157,28
"Baltimore-Columbia-Towson, MD",21161,1
"Baltimore-Columbia-Towson, MD",21738,2
"Baltimore-Columbia-Towson, MD",20833,1
"Baltimore-Columbia-Towson, MD",20861,2
"Baltimore-Columbia-Towson, MD",20905,10
"Baltimore-Columbia-Towson, MD",20862,1
"Baltimore-Columbia-Towson, MD",21050,13
"Baltimore-Columbia-Towson, MD",21017,12
"Baltimore-Columbia-Towson, MD",21001,35
"Baltimore-Columbia-Towson, MD",21005,1
"Baltimore-Columbia-Towson, MD",21797,4
"Baltimore-Columbia-Towson, MD",21402,1
"Baltimore-Columbia-Towson, MD",21102,3
"Baltimore-Columbia-Towson, MD",21074,9
"Baltimore-Columbia-Towson, MD",20716,26
"Baltimore-Columbia-Towson, MD",21140,2
"Baltimore-Columbia-Towson, MD",21037,22
"Baltimore-Columbia-Towson, MD",21403,73
"Baltimore-Columbia-Towson, MD",21771,9
"Baltimore-Columbia-Towson, MD",20882,1
"Baltimore-Columbia-Towson, MD",21130,0
"Baltimore-Columbia-Towson, MD",21105,0
"Baltimore-Columbia-Towson, MD",17349,11
"Baltimore-Columbia-Towson, MD",21053,1
"Baltimore-Columbia-Towson, MD",17363,4
"Baltimore-Columbia-Towson, MD",21154,1
"Baltimore-Columbia-Towson, MD",20776,1
"Baltimore-Columbia-Towson, MD",20774,79
"Baltimore-Columbia-Towson, MD",21028,2
"Baltimore-Columbia-Towson, MD",21666,17
"Baltimore-Columbia-Towson, MD",21132,0
"Baltimore-Columbia-Towson, MD",20751,3
"Baltimore-Columbia-Towson, MD",20711,0
"Baltimore-Columbia-Towson, MD",20778,1
"Baltimore-Columbia-Towson, MD",20765,0
"Baltimore-Columbia-Towson, MD",21619,17
"Baltimore-Columbia-Towson, MD",17327,10
"Baltimore-Columbia-Towson, MD",21776,1
"Baltimore-Columbia-Towson, MD",20764,7
"Baltimore-Columbia-Towson, MD",20872,4
"Baltimore-Columbia-Towson, MD",21638,6
"Baltimore-Columbia-Towson, MD",21078,37
"Baltimore-Columbia-Towson, MD",21034,1
"Baltimore-Columbia-Towson, MD",21158,15
"Baltimore-Columbia-Towson, MD",21617,5
"Baltimore-Columbia-Towson, MD",17321,2
"Baltimore-Columbia-Towson, MD",21160,5
"Baltimore-Columbia-Towson, MD",17314,6
"Baltimore-Columbia-Towson, MD",21620,10
"Baltimore-Columbia-Towson, MD",21623,2
"Baltimore-Columbia-Towson, MD",21658,4
"Baltimore-Columbia-Towson, MD",21918,3
"Baltimore-Columbia-Towson, MD",17352,3
"Baltimore-Columbia-Towson, MD",17329,1
"Baltimore-Columbia-Towson, MD",17331,126
"Baltimore-Columbia-Towson, MD",21791,4
"Baltimore-Columbia-Towson, MD",21787,10
"Baltimore-Columbia-Towson, MD",20772,57
"Baltimore-Columbia-Towson, MD",20733,4
"Baltimore-Columbia-Towson, MD",20779,4
"Baltimore-Columbia-Towson, MD",21651,0
"Baltimore-Columbia-Towson, MD",21668,1
"Baltimore-Columbia-Towson, MD",21628,1
"Baltimore-Columbia-Towson, MD",21640,2
"Baltimore-Columbia-Towson, MD",21607,0
"Baltimore-Columbia-Towson, MD",20754,2
"Baltimore-Columbia-Towson, MD",21601,24
"Baltimore-Columbia-Towson, MD",21679,1
"Baltimore-Columbia-Towson, MD",21657,1
"Baltimore-Columbia-Towson, MD",17340,12
"Baltimore-Columbia-Towson, MD",21757,1
"Baltimore-Columbia-Towson, MD",20714,12
"Baltimore-Columbia-Towson, MD",20736,7
"Baltimore-Columbia-Towson, MD",20758,0
"Baltimore-Columbia-Towson, MD",21625,0
"Baltimore-Columbia-Towson, MD",21644,0
"Baltimore-Columbia-Towson, MD",21660,0
