CBSA,ZIP,num_listings
"Austin-Round Rock, TX",78654,22
"Austin-Round Rock, TX",78665,108
"Austin-Round Rock, TX",78634,76
"Austin-Round Rock, TX",78676,21
"Austin-Round Rock, TX",78662,0
"Austin-Round Rock, TX",76574,22
"Austin-Round Rock, TX",78628,72
"Austin-Round Rock, TX",78626,99
"Austin-Round Rock, TX",78605,0
"Austin-Round Rock, TX",78666,124
"Austin-Round Rock, TX",76578,0
"Austin-Round Rock, TX",78953,1
"Austin-Round Rock, TX",78650,1
"Austin-Round Rock, TX",78606,2
"Austin-Round Rock, TX",78636,2
"Austin-Round Rock, TX",78622,0
"Austin-Round Rock, TX",78638,1
"Austin-Round Rock, TX",78670,0
"Austin-Round Rock, TX",78655,1
"Austin-Round Rock, TX",78642,34
"Austin-Round Rock, TX",78957,4
"Austin-Round Rock, TX",78623,0
"Austin-Round Rock, TX",78659,2
"Austin-Round Rock, TX",78633,23
"Austin-Round Rock, TX",78648,10
"Austin-Round Rock, TX",76530,1
"Austin-Round Rock, TX",78133,59
"Austin-Round Rock, TX",78132,23
"Austin-Round Rock, TX",76573,0
"Austin-Round Rock, TX",76511,2
"Austin-Round Rock, TX",76537,17
"Austin-Round Rock, TX",76577,0
"Austin-Round Rock, TX",78130,245
"Austin-Round Rock, TX",78155,41
"Austin-Round Rock, TX",78947,2
"Austin-Round Rock, TX",78942,9
"Austin-Round Rock, TX",76527,1
"Austin-Round Rock, TX",78661,0
"Austin-Round Rock, TX",78959,0
"Austin-Round Rock, TX",78632,0
"Austin-Round Rock, TX",78629,0
"Austin-Round Rock, TX",76571,3
"Austin-Round Rock, TX",78945,10
"Austin-Round Rock, TX",78949,0
"Austin-Round Rock, TX",78941,0
"Baltimore-Columbia-Towson, MD",21230,329
"Baltimore-Columbia-Towson, MD",21201,141
"Baltimore-Columbia-Towson, MD",21202,211
"Baltimore-Columbia-Towson, MD",21231,184
"Baltimore-Columbia-Towson, MD",21205,79
"Baltimore-Columbia-Towson, MD",21217,253
"Baltimore-Columbia-Towson, MD",21223,116
"Baltimore-Columbia-Towson, MD",21213,146
"Baltimore-Columbia-Towson, MD",21218,285
"Baltimore-Columbia-Towson, MD",21224,368
"Baltimore-Columbia-Towson, MD",21225,111
"Baltimore-Columbia-Towson, MD",21226,45
"Baltimore-Columbia-Towson, MD",21211,68
"Baltimore-Columbia-Towson, MD",21216,130
"Baltimore-Columbia-Towson, MD",21215,174
"Baltimore-Columbia-Towson, MD",21206,107
"Baltimore-Columbia-Towson, MD",21222,117
"Baltimore-Columbia-Towson, MD",21210,32
"Baltimore-Columbia-Towson, MD",21229,164
"Baltimore-Columbia-Towson, MD",21227,41
"Baltimore-Columbia-Towson, MD",21251,0
"Baltimore-Columbia-Towson, MD",21237,30
"Baltimore-Columbia-Towson, MD",21209,39
"Baltimore-Columbia-Towson, MD",21090,10
"Baltimore-Columbia-Towson, MD",21212,96
"Baltimore-Columbia-Towson, MD",21214,40
"Baltimore-Columbia-Towson, MD",21207,78
"Baltimore-Columbia-Towson, MD",21239,55
"Baltimore-Columbia-Towson, MD",21228,43
"Baltimore-Columbia-Towson, MD",21060,53
"Baltimore-Columbia-Towson, MD",21061,58
"Baltimore-Columbia-Towson, MD",21234,87
"Baltimore-Columbia-Towson, MD",21240,0
"Baltimore-Columbia-Towson, MD",21077,0
"Baltimore-Columbia-Towson, MD",21075,45
"Baltimore-Columbia-Towson, MD",21076,55
"Baltimore-Columbia-Towson, MD",21250,0
"Baltimore-Columbia-Towson, MD",21244,36
"Baltimore-Columbia-Towson, MD",21204,34
"Baltimore-Columbia-Towson, MD",21221,53
"Baltimore-Columbia-Towson, MD",21286,20
"Baltimore-Columbia-Towson, MD",21219,10
"Baltimore-Columbia-Towson, MD",21122,55
"Baltimore-Columbia-Towson, MD",21236,38
"Baltimore-Columbia-Towson, MD",21093,31
"Baltimore-Columbia-Towson, MD",21252,0
"Baltimore-Columbia-Towson, MD",21208,38
"Baltimore-Columbia-Towson, MD",21220,52
"Baltimore-Columbia-Towson, MD",21043,54
"Baltimore-Columbia-Towson, MD",21057,1
"Baltimore-Columbia-Towson, MD",21153,0
"Baltimore-Columbia-Towson, MD",21144,39
"Baltimore-Columbia-Towson, MD",21117,65
"Baltimore-Columbia-Towson, MD",21133,26
"Baltimore-Columbia-Towson, MD",21163,7
"Baltimore-Columbia-Towson, MD",21042,19
"Baltimore-Columbia-Towson, MD",21162,2
"Baltimore-Columbia-Towson, MD",21131,1
"Baltimore-Columbia-Towson, MD",21030,15
"Baltimore-Columbia-Towson, MD",21128,6
"Baltimore-Columbia-Towson, MD",21052,0
"Baltimore-Columbia-Towson, MD",21087,1
"Baltimore-Columbia-Towson, MD",20794,8
"Baltimore-Columbia-Towson, MD",21082,1
"Baltimore-Columbia-Towson, MD",21108,10
"Baltimore-Columbia-Towson, MD",20755,2
"Baltimore-Columbia-Towson, MD",21045,48
"Baltimore-Columbia-Towson, MD",21047,5
"Baltimore-Columbia-Towson, MD",21044,75
"Baltimore-Columbia-Towson, MD",20701,1
"Baltimore-Columbia-Towson, MD",20724,22
"Baltimore-Columbia-Towson, MD",21046,27
"Baltimore-Columbia-Towson, MD",21031,0
"Baltimore-Columbia-Towson, MD",21136,44
"Baltimore-Columbia-Towson, MD",21113,46
"Baltimore-Columbia-Towson, MD",20763,2
"Baltimore-Columbia-Towson, MD",21146,17
"Baltimore-Columbia-Towson, MD",21054,10
"Baltimore-Columbia-Towson, MD",21104,2
"Baltimore-Columbia-Towson, MD",21032,8
"Baltimore-Columbia-Towson, MD",21156,0
"Baltimore-Columbia-Towson, MD",21013,0
"Baltimore-Columbia-Towson, MD",21048,2
"Baltimore-Columbia-Towson, MD",21784,16
"Baltimore-Columbia-Towson, MD",21085,20
"Baltimore-Columbia-Towson, MD",21012,25
"Baltimore-Columbia-Towson, MD",21794,0
"Baltimore-Columbia-Towson, MD",21152,7
"Baltimore-Columbia-Towson, MD",21409,30
"Baltimore-Columbia-Towson, MD",21056,1
"Baltimore-Columbia-Towson, MD",21051,0
"Baltimore-Columbia-Towson, MD",20723,30
"Baltimore-Columbia-Towson, MD",21111,4
"Baltimore-Columbia-Towson, MD",20720,24
"Baltimore-Columbia-Towson, MD",20708,20
"Baltimore-Columbia-Towson, MD",20715,11
"Baltimore-Columbia-Towson, MD",21155,0
"Baltimore-Columbia-Towson, MD",21071,1
"Baltimore-Columbia-Towson, MD",21029,6
"Baltimore-Columbia-Towson, MD",21040,57
"Baltimore-Columbia-Towson, MD",21405,0
"Baltimore-Columbia-Towson, MD",21401,106
"Baltimore-Columbia-Towson, MD",20707,51
"Baltimore-Columbia-Towson, MD",21036,1
"Baltimore-Columbia-Towson, MD",20759,5
"Baltimore-Columbia-Towson, MD",21035,3
"Baltimore-Columbia-Towson, MD",21010,0
"Baltimore-Columbia-Towson, MD",21114,27
"Baltimore-Columbia-Towson, MD",21723,0
"Baltimore-Columbia-Towson, MD",21737,1
"Baltimore-Columbia-Towson, MD",21084,1
"Baltimore-Columbia-Towson, MD",20777,2
"Baltimore-Columbia-Towson, MD",20866,21
"Baltimore-Columbia-Towson, MD",21009,39
"Baltimore-Columbia-Towson, MD",21015,17
"Baltimore-Columbia-Towson, MD",21120,1
"Baltimore-Columbia-Towson, MD",21014,32
"Baltimore-Columbia-Towson, MD",21157,26
"Baltimore-Columbia-Towson, MD",21161,1
"Baltimore-Columbia-Towson, MD",21738,2
"Baltimore-Columbia-Towson, MD",20833,1
"Baltimore-Columbia-Towson, MD",20861,2
"Baltimore-Columbia-Towson, MD",20905,10
"Baltimore-Columbia-Towson, MD",20862,1
"Baltimore-Columbia-Towson, MD",21050,13
"Baltimore-Columbia-Towson, MD",21017,12
"Baltimore-Columbia-Towson, MD",21001,35
"Baltimore-Columbia-Towson, MD",21005,1
"Baltimore-Columbia-Towson, MD",21797,4
"Baltimore-Columbia-Towson, MD",21402,1
"Baltimore-Columbia-Towson, MD",21102,2
"Baltimore-Columbia-Towson, MD",21074,8
"Baltimore-Columbia-Towson, MD",20716,25
"Baltimore-Columbia-Towson, MD",21140,2
"Baltimore-Columbia-Towson, MD",21037,23
"Baltimore-Columbia-Towson, MD",21403,67
"Baltimore-Columbia-Towson, MD",21771,7
"Baltimore-Columbia-Towson, MD",20882,1
"Baltimore-Columbia-Towson, MD",21130,0
"Baltimore-Columbia-Towson, MD",21105,0
"Baltimore-Columbia-Towson, MD",17349,10
"Baltimore-Columbia-Towson, MD",21053,1
"Baltimore-Columbia-Towson, MD",17363,3
"Baltimore-Columbia-Towson, MD",21154,1
"Baltimore-Columbia-Towson, MD",20776,1
"Baltimore-Columbia-Towson, MD",20774,77
