"CBSA","ZIP"
"Baltimore-Columbia-Towson, MD","21207"
"Baltimore-Columbia-Towson, MD","21239"
"Baltimore-Columbia-Towson, MD","21228"
"Baltimore-Columbia-Towson, MD","21060"
"Baltimore-Columbia-Towson, MD","21061"
"Baltimore-Columbia-Towson, MD","21234"
"Baltimore-Columbia-Towson, MD","21240"
"Baltimore-Columbia-Towson, MD","21077"
"Baltimore-Columbia-Towson, MD","21075"
"Baltimore-Columbia-Towson, MD","21076"
"Baltimore-Columbia-Towson, MD","21250"
"Baltimore-Columbia-Towson, MD","21244"
"Baltimore-Columbia-Towson, MD","21204"
"Baltimore-Columbia-Towson, MD","21221"
"Baltimore-Columbia-Towson, MD","21286"
"Baltimore-Columbia-Towson, MD","21219"
"Baltimore-Columbia-Towson, MD","21122"
"Baltimore-Columbia-Towson, MD","21236"
"Baltimore-Columbia-Towson, MD","21093"
"Baltimore-Columbia-Towson, MD","21252"
"Baltimore-Columbia-Towson, MD","21208"
"Baltimore-Columbia-Towson, MD","21220"
"Baltimore-Columbia-Towson, MD","21043"
"Baltimore-Columbia-Towson, MD","21057"
"Baltimore-Columbia-Towson, MD","21153"
"Baltimore-Columbia-Towson, MD","21144"
"Baltimore-Columbia-Towson, MD","21117"
"Baltimore-Columbia-Towson, MD","21133"
"Baltimore-Columbia-Towson, MD","21163"
"Baltimore-Columbia-Towson, MD","21042"
"Baltimore-Columbia-Towson, MD","21162"
"Baltimore-Columbia-Towson, MD","21131"
"Baltimore-Columbia-Towson, MD","21030"
"Baltimore-Columbia-Towson, MD","21128"
"Baltimore-Columbia-Towson, MD","21052"
"Baltimore-Columbia-Towson, MD","21087"
"Baltimore-Columbia-Towson, MD","20794"
"Baltimore-Columbia-Towson, MD","21082"
"Baltimore-Columbia-Towson, MD","21108"
"Baltimore-Columbia-Towson, MD","20755"
"Baltimore-Columbia-Towson, MD","21045"
"Baltimore-Columbia-Towson, MD","21047"
"Baltimore-Columbia-Towson, MD","21044"
"Baltimore-Columbia-Towson, MD","20701"
"Baltimore-Columbia-Towson, MD","20724"
"Baltimore-Columbia-Towson, MD","21046"
"Baltimore-Columbia-Towson, MD","21031"
"Baltimore-Columbia-Towson, MD","21136"
"Baltimore-Columbia-Towson, MD","21113"
"Baltimore-Columbia-Towson, MD","20763"
"Baltimore-Columbia-Towson, MD","21146"
"Baltimore-Columbia-Towson, MD","21054"
"Baltimore-Columbia-Towson, MD","21104"
"Baltimore-Columbia-Towson, MD","21032"
"Baltimore-Columbia-Towson, MD","21156"
"Baltimore-Columbia-Towson, MD","21013"
"Baltimore-Columbia-Towson, MD","21048"
"Baltimore-Columbia-Towson, MD","21784"
"Baltimore-Columbia-Towson, MD","21085"
"Baltimore-Columbia-Towson, MD","21012"
"Baltimore-Columbia-Towson, MD","21794"
"Baltimore-Columbia-Towson, MD","21152"
"Baltimore-Columbia-Towson, MD","21409"
"Baltimore-Columbia-Towson, MD","21056"
"Baltimore-Columbia-Towson, MD","21051"
"Baltimore-Columbia-Towson, MD","20723"
"Baltimore-Columbia-Towson, MD","21111"
"Baltimore-Columbia-Towson, MD","20720"
"Baltimore-Columbia-Towson, MD","20708"
"Baltimore-Columbia-Towson, MD","20715"
"Baltimore-Columbia-Towson, MD","21155"
"Baltimore-Columbia-Towson, MD","21071"
"Baltimore-Columbia-Towson, MD","21029"
"Baltimore-Columbia-Towson, MD","21040"
"Baltimore-Columbia-Towson, MD","21405"
"Baltimore-Columbia-Towson, MD","21401"
"Baltimore-Columbia-Towson, MD","20707"
"Baltimore-Columbia-Towson, MD","21036"
"Baltimore-Columbia-Towson, MD","20759"
"Baltimore-Columbia-Towson, MD","21035"
"Baltimore-Columbia-Towson, MD","21010"
"Baltimore-Columbia-Towson, MD","21114"
"Baltimore-Columbia-Towson, MD","21723"
"Baltimore-Columbia-Towson, MD","21737"
"Baltimore-Columbia-Towson, MD","21084"
"Baltimore-Columbia-Towson, MD","20777"
"Baltimore-Columbia-Towson, MD","20866"
"Baltimore-Columbia-Towson, MD","21009"
"Baltimore-Columbia-Towson, MD","21015"
"Baltimore-Columbia-Towson, MD","21120"
"Baltimore-Columbia-Towson, MD","21014"
"Baltimore-Columbia-Towson, MD","21157"
"Baltimore-Columbia-Towson, MD","21161"
"Baltimore-Columbia-Towson, MD","21738"
"Baltimore-Columbia-Towson, MD","20833"
"Baltimore-Columbia-Towson, MD","20861"
"Baltimore-Columbia-Towson, MD","20905"
"Baltimore-Columbia-Towson, MD","20862"
"Baltimore-Columbia-Towson, MD","21050"
"Baltimore-Columbia-Towson, MD","21017"
"Baltimore-Columbia-Towson, MD","21001"
"Baltimore-Columbia-Towson, MD","21005"
"Baltimore-Columbia-Towson, MD","21797"
"Baltimore-Columbia-Towson, MD","21402"
"Baltimore-Columbia-Towson, MD","21102"
"Baltimore-Columbia-Towson, MD","21074"
"Baltimore-Columbia-Towson, MD","20716"
"Baltimore-Columbia-Towson, MD","21140"
"Baltimore-Columbia-Towson, MD","21037"
"Baltimore-Columbia-Towson, MD","21403"
"Baltimore-Columbia-Towson, MD","21771"
"Baltimore-Columbia-Towson, MD","20882"
"Baltimore-Columbia-Towson, MD","21130"
"Baltimore-Columbia-Towson, MD","21105"
"Baltimore-Columbia-Towson, MD","17349"
"Baltimore-Columbia-Towson, MD","21053"
"Baltimore-Columbia-Towson, MD","17363"
"Baltimore-Columbia-Towson, MD","21154"
"Baltimore-Columbia-Towson, MD","20776"
"Baltimore-Columbia-Towson, MD","20774"
"Baltimore-Columbia-Towson, MD","21028"
"Baltimore-Columbia-Towson, MD","21666"
"Baltimore-Columbia-Towson, MD","21132"
"Baltimore-Columbia-Towson, MD","20751"
"Baltimore-Columbia-Towson, MD","20711"
"Baltimore-Columbia-Towson, MD","20778"
"Baltimore-Columbia-Towson, MD","20765"
"Baltimore-Columbia-Towson, MD","21619"
"Baltimore-Columbia-Towson, MD","17327"
"Baltimore-Columbia-Towson, MD","21776"
"Baltimore-Columbia-Towson, MD","20764"
"Baltimore-Columbia-Towson, MD","20872"
"Baltimore-Columbia-Towson, MD","21638"
"Baltimore-Columbia-Towson, MD","21078"
"Baltimore-Columbia-Towson, MD","21034"
"Baltimore-Columbia-Towson, MD","21158"
"Baltimore-Columbia-Towson, MD","21617"
"Baltimore-Columbia-Towson, MD","17321"
"Baltimore-Columbia-Towson, MD","21160"
"Baltimore-Columbia-Towson, MD","17314"
"Baltimore-Columbia-Towson, MD","21620"
"Baltimore-Columbia-Towson, MD","21623"
"Baltimore-Columbia-Towson, MD","21658"
"Baltimore-Columbia-Towson, MD","21918"
"Baltimore-Columbia-Towson, MD","17352"
"Baltimore-Columbia-Towson, MD","17329"
"Baltimore-Columbia-Towson, MD","17331"
"Baltimore-Columbia-Towson, MD","21791"
"Baltimore-Columbia-Towson, MD","21787"
"Baltimore-Columbia-Towson, MD","20772"
"Baltimore-Columbia-Towson, MD","20733"
"Baltimore-Columbia-Towson, MD","20779"
"Baltimore-Columbia-Towson, MD","21651"
"Baltimore-Columbia-Towson, MD","21668"
"Baltimore-Columbia-Towson, MD","21628"
"Baltimore-Columbia-Towson, MD","21640"
"Baltimore-Columbia-Towson, MD","21607"
"Baltimore-Columbia-Towson, MD","20754"
"Baltimore-Columbia-Towson, MD","21601"
"Baltimore-Columbia-Towson, MD","21679"
"Baltimore-Columbia-Towson, MD","21657"
"Baltimore-Columbia-Towson, MD","17340"
"Baltimore-Columbia-Towson, MD","21757"
"Baltimore-Columbia-Towson, MD","20714"
"Baltimore-Columbia-Towson, MD","20736"
"Baltimore-Columbia-Towson, MD","20758"
"Baltimore-Columbia-Towson, MD","21625"
"Baltimore-Columbia-Towson, MD","21644"
"Baltimore-Columbia-Towson, MD","21660"
"Baltimore-Columbia-Towson, MD","21727"
"Baltimore-Columbia-Towson, MD","21778"
"Baltimore-Columbia-Towson, MD","19964"
"Baltimore-Columbia-Towson, MD","21649"
"Baltimore-Columbia-Towson, MD","19953"
"Baltimore-Columbia-Towson, MD","19938"
"Birmingham-Hoover, AL","35203"
"Birmingham-Hoover, AL","35234"
"Birmingham-Hoover, AL","35233"
"Birmingham-Hoover, AL","35204"
"Birmingham-Hoover, AL","35222"
"Birmingham-Hoover, AL","35205"
"Birmingham-Hoover, AL","35211"
"Birmingham-Hoover, AL","35254"
"Birmingham-Hoover, AL","35207"
"Birmingham-Hoover, AL","35209"
"Birmingham-Hoover, AL","35214"
"Birmingham-Hoover, AL","35223"
"Birmingham-Hoover, AL","35213"
"Birmingham-Hoover, AL","35212"
"Birmingham-Hoover, AL","35217"
"Birmingham-Hoover, AL","35218"
"Birmingham-Hoover, AL","35208"
"Birmingham-Hoover, AL","35216"
"Birmingham-Hoover, AL","35068"
"Birmingham-Hoover, AL","35206"
"Birmingham-Hoover, AL","35117"
"Birmingham-Hoover, AL","35005"
"Birmingham-Hoover, AL","35229"
"Birmingham-Hoover, AL","35210"
"Birmingham-Hoover, AL","35071"
"Birmingham-Hoover, AL","35243"
